title,author,language,genre,archive_link,identifier,cover_url,download_url
My Seditious Heart,Arundhati Roy,English,Politics & Law,https://archive.org/details/burzahom-my-seditious-heart,burzahom-my-seditious-heart,https://archive.org/services/img/burzahom-my-seditious-heart,https://archive.org/download/burzahom-my-seditious-heart/burzahom-my-seditious-heart.pdf
Our Real Crime,Yasin Malik,English,Politics & Law,https://archive.org/details/burzahom-our-real-crime,burzahom-our-real-crime,https://archive.org/services/img/burzahom-our-real-crime,https://archive.org/download/burzahom-our-real-crime/burzahom-our-real-crime.pdf
Rajatarangini Vol 1,Kalhana,English,History,https://archive.org/details/burzahom-rajatarangini-vol-1,burzahom-rajatarangini-vol-1,https://archive.org/services/img/burzahom-rajatarangini-vol-1,https://archive.org/download/burzahom-rajatarangini-vol-1/burzahom-rajatarangini-vol-1.pdf
Kashmir at the Crossroads: Inside a 21st Century Conflict,Sumantra Bose,English,Politics & Law,https://archive.org/details/burzahom-a-trip-to-kashmir,burzahom-a-trip-to-kashmir,https://archive.org/services/img/burzahom-a-trip-to-kashmir,https://archive.org/download/burzahom-a-trip-to-kashmir/burzahom-a-trip-to-kashmir.pdf
Kashmir Rediscovered: The Vicissitudes of Kashmir's History,Abdul Ahad,English,History,https://archive.org/details/burzahom-abc-of-kashmir-question,burzahom-abc-of-kashmir-question,https://archive.org/services/img/burzahom-abc-of-kashmir-question,https://archive.org/download/burzahom-abc-of-kashmir-question/burzahom-abc-of-kashmir-question.pdf
The Kashmir Question,A.G. Noorani,English,Politics & Law,https://archive.org/details/burzahom-1930-founding-of-the-kashmir-state,burzahom-1930-founding-of-the-kashmir-state,https://archive.org/services/img/burzahom-1930-founding-of-the-kashmir-state,https://archive.org/download/burzahom-1930-founding-of-the-kashmir-state/burzahom-1930-founding-of-the-kashmir-state.pdf
Resisting Occupation in Kashmir,"Haley Duschinski, Mona Bhan, Ather Zia, Cynthia Mahmood",English,Academic & Research,https://archive.org/details/burzahom-a-mission-in-kashmir,burzahom-a-mission-in-kashmir,https://archive.org/services/img/burzahom-a-mission-in-kashmir,https://archive.org/download/burzahom-a-mission-in-kashmir/burzahom-a-mission-in-kashmir.pdf
The Untold Story of Jihad in Kashmir,Arif Jamal,English,Politics & Law,https://archive.org/details/burzahom-a-dismantled-state-the-untold-story-of-kashmir-after-article-370,burzahom-a-dismantled-state-the-untold-story-of-kashmir-after-article-370,https://archive.org/services/img/burzahom-a-dismantled-state-the-untold-story-of-kashmir-after-article-370,https://archive.org/download/burzahom-a-dismantled-state-the-untold-story-of-kashmir-after-article-370/burzahom-a-dismantled-state-the-untold-story-of-kashmir-after-article-370.pdf
Dictionary of Kashmiri Proverbs and Sayings,J. Hinton Knowles,English,Language & Linguistics,https://archive.org/details/burzahom-farooq-of-kashmir,burzahom-farooq-of-kashmir,https://archive.org/services/img/burzahom-farooq-of-kashmir,https://archive.org/download/burzahom-farooq-of-kashmir/burzahom-farooq-of-kashmir.pdf
Travels in Kashmir and Punjab,Baron Charles Hugel,English,Travelogue,https://archive.org/details/burzahom-central-asia-and-kashmir,burzahom-central-asia-and-kashmir,https://archive.org/services/img/burzahom-central-asia-and-kashmir,https://archive.org/download/burzahom-central-asia-and-kashmir/burzahom-central-asia-and-kashmir.pdf
Diaspora Youth and Ancestral Homeland,Gill Cressey,English,Academic & Research,https://archive.org/details/burzahom-diaspora-youth-and-ancestral-homeland-british-pakistanikashmiri-youth,burzahom-diaspora-youth-and-ancestral-homeland-british-pakistanikashmiri-youth,https://archive.org/services/img/burzahom-diaspora-youth-and-ancestral-homeland-british-pakistanikashmiri-youth,https://archive.org/download/burzahom-diaspora-youth-and-ancestral-homeland-british-pakistanikashmiri-youth/burzahom-diaspora-youth-and-ancestral-homeland-british-pakistanikashmiri-youth.pdf
Kashmir's Transition to Islam: The Role of Muslim Rishis,M. Ishaq Khan,English,Religion & Philosophy,https://archive.org/details/burzahom-kashmir-in-transition-18851893,burzahom-kashmir-in-transition-18851893,https://archive.org/services/img/burzahom-kashmir-in-transition-18851893,https://archive.org/download/burzahom-kashmir-in-transition-18851893/burzahom-kashmir-in-transition-18851893.pdf
